Episode,Trial,Lookahead,O1,O2,Action 1,Action 2,Action 3
0,0,3,1.986875057220459,2.013124942779541,0.32609375,0.336875,0.33703125
1,0,3,1.9909374713897705,2.0090625286102295,0.35015625,0.28890625,0.3609375
2,0,3,2.0285937786102295,1.9714062213897705,0.3496875,0.2865625,0.36375
3,0,3,2.054375171661377,1.945624828338623,0.34125,0.25203125,0.40671875
4,0,3,2.083437442779541,1.916562557220459,0.34546875,0.22875,0.42578125
5,0,3,2.075624942779541,1.924375057220459,0.35984375,0.1878125,0.45234375
6,0,3,2.099843740463257,1.9001562595367432,0.35375,0.19359375,0.45265625
7,0,3,2.1290624141693115,1.870937466621399,0.358125,0.1790625,0.4628125
8,0,3,2.1851561069488525,1.814843773841858,0.36234375,0.1853125,0.45234375
9,0,3,2.220781087875366,1.7792187929153442,0.38328125,0.16375,0.45296875
10,0,3,2.247812271118164,1.7521874904632568,0.39203125,0.160625,0.44734375
11,0,3,2.2950000762939453,1.7049999237060547,0.395,0.166875,0.438125
12,0,3,2.3131251335144043,1.6868748664855957,0.3940625,0.17296875,0.43296875
13,0,3,2.3712499141693115,1.6287500858306885,0.39875,0.16453125,0.43671875
14,0,3,2.380781412124634,1.6192188262939453,0.406875,0.155625,0.4375
15,0,3,2.392812728881836,1.6071876287460327,0.42484375,0.15296875,0.4221875
16,0,3,2.4479687213897705,1.55203115940094,0.4353125,0.16015625,0.40453125
17,0,3,2.4103126525878906,1.5896875858306885,0.41921875,0.16953125,0.41125
18,0,3,2.4774999618530273,1.522499918937683,0.43546875,0.16546875,0.3990625
19,0,3,2.4990622997283936,1.5009374618530273,0.43671875,0.16546875,0.3978125
20,0,3,2.5135936737060547,1.4864064455032349,0.44140625,0.1678125,0.39078125
21,0,3,2.5514063835144043,1.4485937356948853,0.45453125,0.153125,0.39234375
22,0,3,2.5264060497283936,1.4735937118530273,0.43,0.16109375,0.40890625
23,0,3,2.546875,1.453125,0.4415625,0.16421875,0.39421875
24,0,3,2.569999933242798,1.4299999475479126,0.44359375,0.17140625,0.385
